No,Section,Horizons,Cum_Length_Proven,Cum_Length_Secure,Cum_Length_Assume,,,Total-Horizons-Length,Horizons,Section-1,,,Section-2,,,Section-3,,,Section-4,,,Section-5,,,Section-6,,,Section-7,,,Section-8,,,Section-9,,,Section-10,,,Section-11,,,Section-12,,
227,5,Fi,35310.2,16334.6,143450.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,5,La,19102.6,3543.6,4373.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,5,Di,23081.4,15408,111506.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,5,So,43049.6,5341.5,115148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,5,Gi5,33908.4,14125.9,129730.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,5,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,5,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,5,Hu,20013.7,37750.9,56619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,5,Ka,33668.4,25721.3,73638.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,5,Er,22957.1,16837.3,92123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,5,Mg,18456,37903.1,140923.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,5,Sb,6173,7344.2,166599.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,Zo2,40533.2,22861.9,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6,Zo8,39533.8,25058.8,23925.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,6,Gu,28153,29543.7,48152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,6,Ma,27523.9,25710.5,54843.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6,Pr,26597,7800,113275.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
